unit,shift_id,responder_id,experience_level,rescue_attempts,successful_rescues
Unit Delta,S07941,R03870,mid,3,3
Unit Alpha,S07942,R02868,senior,8,6
Unit Echo,S07943,R04821,mid,5,5
Unit Alpha,S07944,R04064,senior,4,4
Unit Alpha,S07945,R03915,senior,6,5
Unit Alpha,S07946,R04562,junior,6,4
Unit Echo,S07947,R04167,senior,6,5
Unit Bravo,S07948,R00114,junior,3,3
Unit Bravo,S07949,R01170,mid,10,8
Unit Bravo,S07950,R01730,junior,3,2
Unit Alpha,S07951,R03083,junior,10,9
Unit Delta,S07952,R02896,junior,4,1
Unit Bravo,S07953,R02819,junior,8,4
Unit Bravo,S07954,R03352,junior,3,1
Unit Bravo,S07955,R00699,senior,3,3
Unit Alpha,S07956,R03287,mid,3,3
Unit Alpha,S07957,R04570,senior,5,5
Unit Bravo,S07958,R00983,junior,2,1
Unit Bravo,S07959,R01845,mid,5,4
Unit Bravo,S07960,R01936,senior,4,3
Unit Echo,S07961,R04487,junior,4,2
Unit Delta,S07962,R01851,senior,9,9
Unit Alpha,S07963,R03236,mid,3,3
Unit Echo,S07964,R00591,junior,8,3
Unit Echo,S07965,R00124,junior,7,3
Unit Delta,S07966,R01169,junior,7,5
Unit Bravo,S07967,R00818,mid,5,2
Unit Echo,S07968,R00545,junior,6,4
Unit Echo,S07969,R02882,mid,7,5
Unit Echo,S07970,R00608,junior,4,4
Unit Delta,S07971,R02677,mid,6,5
Unit Delta,S07972,R02374,junior,6,6
Unit Alpha,S07973,R03639,junior,4,0
Unit Bravo,S07974,R02842,mid,4,3
Unit Delta,S07975,R01810,junior,7,5
Unit Bravo,S07976,R03909,senior,2,2
Unit Bravo,S07977,R02855,mid,8,6
Unit Alpha,S07978,R03431,mid,5,5
Unit Echo,S07979,R02303,mid,6,6
Unit Echo,S07980,R01195,junior,6,3
Unit Echo,S07981,R01049,mid,7,7
Unit Echo,S07982,R00217,mid,8,6
Unit Alpha,S07983,R04690,senior,2,1
Unit Alpha,S07984,R03104,junior,3,3
Unit Echo,S07985,R01167,mid,8,7
Unit Delta,S07986,R03114,mid,8,7
Unit Bravo,S07987,R00260,mid,5,5
Unit Echo,S07988,R00379,mid,7,5
Unit Alpha,S07989,R00091,junior,6,3
Unit Echo,S07990,R00490,junior,4,3
Unit Bravo,S07991,R04671,mid,9,5
Unit Delta,S07992,R02258,mid,6,3
Unit Delta,S07993,R02330,mid,3,2
Unit Bravo,S07994,R04697,junior,5,2
Unit Alpha,S07995,R03456,junior,9,6
Unit Alpha,S07996,R01136,junior,3,2
Unit Bravo,S07997,R03633,mid,10,6
Unit Echo,S07998,R03784,junior,4,2
Unit Bravo,S07999,R04089,senior,5,5
Unit Bravo,S08000,R04043,senior,7,7
Unit Echo,S08001,R00766,mid,9,7
Unit Echo,S08002,R04001,mid,8,6
Unit Delta,S08003,R00324,mid,8,7
Unit Alpha,S08004,R03699,junior,4,4
Unit Alpha,S08005,R00287,junior,5,3
Unit Echo,S08006,R02667,mid,4,4
Unit Bravo,S08007,R04833,mid,7,4
Unit Echo,S08008,R04743,junior,7,5
Unit Bravo,S08009,R01681,mid,2,1
Unit Echo,S08010,R04776,senior,5,4
Unit Echo,S08011,R01360,mid,8,5
Unit Echo,S08012,R03018,junior,3,1
Unit Echo,S08013,R01999,junior,5,1
Unit Delta,S08014,R00617,mid,8,4
Unit Echo,S08015,R02142,mid,4,3
Unit Delta,S08016,R00238,junior,11,7
Unit Echo,S08017,R03854,mid,7,5
Unit Echo,S08018,R00714,senior,2,2
Unit Alpha,S08019,R00674,junior,3,2
Unit Delta,S08020,R00021,junior,3,2
Unit Echo,S08021,R02488,junior,9,5
Unit Delta,S08022,R02117,junior,4,1
Unit Alpha,S08023,R01793,senior,8,7
Unit Delta,S08024,R03483,junior,10,9
Unit Echo,S08025,R00907,mid,5,2
Unit Bravo,S08026,R03199,junior,5,4
Unit Echo,S08027,R04919,mid,6,4
Unit Delta,S08028,R01358,junior,5,2
Unit Bravo,S08029,R00356,junior,4,1
Unit Alpha,S08030,R01855,mid,6,5
Unit Bravo,S08031,R03071,mid,5,4
Unit Delta,S08032,R00605,mid,1,1
Unit Echo,S08033,R00529,junior,2,1
Unit Bravo,S08034,R02566,senior,6,5
Unit Delta,S08035,R02454,mid,3,3
Unit Delta,S08036,R03210,senior,5,3
Unit Delta,S08037,R04221,junior,11,7
Unit Bravo,S08038,R01751,junior,5,2
Unit Alpha,S08039,R00047,junior,2,2
Unit Alpha,S08040,R01951,mid,7,3
Unit Bravo,S08041,R02276,mid,4,4
Unit Bravo,S08042,R04805,mid,6,6
Unit Bravo,S08043,R02333,junior,6,5
Unit Alpha,S08044,R04503,senior,11,11
Unit Delta,S08045,R03694,mid,5,4
Unit Echo,S08046,R02493,junior,1,1
Unit Echo,S08047,R01599,mid,4,2
Unit Echo,S08048,R00419,mid,4,3
Unit Delta,S08049,R00018,junior,8,3
Unit Alpha,S08050,R03502,junior,7,5
Unit Alpha,S08051,R03191,junior,9,5
Unit Bravo,S08052,R02972,junior,5,2
Unit Delta,S08053,R01718,junior,5,4
Unit Delta,S08054,R00173,junior,4,2
Unit Bravo,S08055,R00847,senior,11,9
Unit Delta,S08056,R00664,junior,3,1
Unit Delta,S08057,R04352,mid,7,4
Unit Bravo,S08058,R03000,senior,2,2
Unit Delta,S08059,R01485,senior,6,5
Unit Alpha,S08060,R01194,mid,6,4
Unit Alpha,S08061,R04772,junior,5,3
Unit Echo,S08062,R00115,mid,6,5
Unit Bravo,S08063,R04176,junior,7,3
Unit Echo,S08064,R03254,mid,7,3
Unit Bravo,S08065,R04806,senior,3,3
Unit Echo,S08066,R01266,junior,2,1
Unit Echo,S08067,R01469,junior,5,2
Unit Bravo,S08068,R02051,mid,4,4
Unit Bravo,S08069,R04923,mid,5,4
Unit Delta,S08070,R03795,junior,8,4
Unit Delta,S08071,R03891,mid,4,3
Unit Echo,S08072,R03644,senior,4,4
Unit Alpha,S08073,R03191,junior,10,6
Unit Bravo,S08074,R00926,junior,9,4
Unit Delta,S08075,R04795,senior,4,4
Unit Bravo,S08076,R01304,junior,8,5
Unit Echo,S08077,R01474,mid,8,4
Unit Bravo,S08078,R02874,senior,6,6
Unit Delta,S08079,R03301,senior,5,4
Unit Alpha,S08080,R03091,senior,9,8
Unit Echo,S08081,R01943,junior,2,2
Unit Alpha,S08082,R00907,junior,8,7
Unit Echo,S08083,R01733,junior,9,5
Unit Bravo,S08084,R01564,junior,4,3
Unit Echo,S08085,R01803,junior,1,0
Unit Delta,S08086,R00193,junior,4,2
Unit Alpha,S08087,R03151,junior,7,4
Unit Echo,S08088,R02846,junior,5,3
Unit Alpha,S08089,R00328,junior,7,3
Unit Alpha,S08090,R00218,senior,6,5
Unit Bravo,S08091,R00290,mid,7,6
Unit Delta,S08092,R00224,senior,7,7
Unit Bravo,S08093,R02074,senior,6,6
Unit Delta,S08094,R03908,junior,3,2
Unit Bravo,S08095,R01091,mid,4,3
Unit Bravo,S08096,R03223,mid,12,10
Unit Delta,S08097,R03892,mid,6,4
Unit Bravo,S08098,R00187,senior,4,4
Unit Delta,S08099,R02376,junior,8,5
Unit Alpha,S08100,R04405,mid,9,7
Unit Bravo,S08101,R02749,mid,6,5
Unit Alpha,S08102,R02585,senior,5,3
Unit Bravo,S08103,R04804,mid,7,7
Unit Echo,S08104,R03688,mid,9,8
Unit Echo,S08105,R01392,junior,8,5
Unit Bravo,S08106,R00423,senior,11,10
Unit Echo,S08107,R00057,junior,7,1
Unit Echo,S08108,R01406,mid,4,2
Unit Bravo,S08109,R04576,mid,4,3
Unit Alpha,S08110,R03491,junior,4,3
Unit Echo,S08111,R01657,mid,4,4
Unit Delta,S08112,R03057,mid,3,3
Unit Alpha,S08113,R01547,senior,5,4
Unit Bravo,S08114,R01753,mid,8,6
Unit Bravo,S08115,R04558,junior,4,4
Unit Alpha,S08116,R00313,mid,6,5
Unit Alpha,S08117,R01458,mid,6,5
Unit Alpha,S08118,R04036,senior,7,6
Unit Bravo,S08119,R02887,junior,9,4
Unit Echo,S08120,R04998,junior,5,3
Unit Delta,S08121,R02509,mid,7,3
Unit Delta,S08122,R00242,junior,2,2
Unit Alpha,S08123,R04649,junior,10,10
Unit Echo,S08124,R01109,junior,4,1
Unit Delta,S08125,R00508,senior,5,5
Unit Bravo,S08126,R01372,junior,4,1
Unit Delta,S08127,R02450,junior,7,3
Unit Echo,S08128,R01560,mid,10,9
Unit Bravo,S08129,R02981,senior,7,5
Unit Bravo,S08130,R03888,mid,14,12
Unit Echo,S08131,R03676,mid,4,3
Unit Alpha,S08132,R01456,mid,6,5
Unit Bravo,S08133,R04895,mid,4,2
Unit Delta,S08134,R00910,mid,3,2
Unit Echo,S08135,R00432,junior,5,2
Unit Alpha,S08136,R02947,junior,3,2
Unit Echo,S08137,R03951,mid,2,2
Unit Alpha,S08138,R02494,mid,5,4
Unit Echo,S08139,R02871,mid,3,3
Unit Echo,S08140,R03581,junior,4,2
Unit Delta,S08141,R03211,senior,5,4
Unit Alpha,S08142,R00360,junior,2,1
Unit Bravo,S08143,R03161,mid,5,5
Unit Echo,S08144,R01324,junior,10,9
Unit Delta,S08145,R02178,mid,4,3
Unit Echo,S08146,R00497,junior,4,2
Unit Delta,S08147,R04552,junior,4,3
Unit Echo,S08148,R01533,junior,7,3
Unit Bravo,S08149,R00636,junior,6,3
Unit Alpha,S08150,R00254,junior,5,5
Unit Alpha,S08151,R01626,junior,6,4
Unit Alpha,S08152,R02095,mid,3,2
Unit Alpha,S08153,R00179,mid,4,3
Unit Alpha,S08154,R00459,mid,5,2
Unit Alpha,S08155,R04424,mid,5,3
Unit Alpha,S08156,R04208,senior,8,7
Unit Echo,S08157,R02249,junior,6,4
Unit Echo,S08158,R02989,senior,3,3
Unit Alpha,S08159,R04425,junior,4,3
Unit Echo,S08160,R02106,junior,8,4
Unit Delta,S08161,R02893,senior,6,5
Unit Alpha,S08162,R02194,junior,8,3
Unit Bravo,S08163,R02896,junior,8,4
Unit Echo,S08164,R02655,senior,6,6
Unit Bravo,S08165,R01287,mid,10,6
Unit Alpha,S08166,R04026,mid,4,3
Unit Bravo,S08167,R04838,senior,9,9
Unit Echo,S08168,R02301,senior,8,7
Unit Alpha,S08169,R02343,mid,7,4
Unit Alpha,S08170,R01204,mid,8,5
Unit Bravo,S08171,R04554,junior,6,2
Unit Alpha,S08172,R01707,junior,6,4
Unit Delta,S08173,R03810,junior,5,2
Unit Delta,S08174,R01449,mid,8,7
Unit Alpha,S08175,R03739,mid,6,5
Unit Alpha,S08176,R03127,mid,8,7
Unit Bravo,S08177,R02913,mid,6,6
Unit Delta,S08178,R00855,senior,7,6
Unit Delta,S08179,R00195,mid,10,7
Unit Echo,S08180,R02203,mid,9,6
Unit Echo,S08181,R00838,junior,8,5
Unit Echo,S08182,R00668,senior,7,4
Unit Bravo,S08183,R02237,senior,3,3
Unit Echo,S08184,R02632,mid,6,3
Unit Alpha,S08185,R01389,junior,4,3
Unit Delta,S08186,R00020,junior,8,6
Unit Alpha,S08187,R03172,mid,7,5
Unit Delta,S08188,R03795,mid,6,5
Unit Alpha,S08189,R02953,mid,5,4
Unit Delta,S08190,R01760,senior,7,7
Unit Alpha,S08191,R01293,mid,5,5
Unit Delta,S08192,R03548,mid,7,5
Unit Bravo,S08193,R01984,mid,7,4
Unit Alpha,S08194,R03392,junior,5,2
Unit Bravo,S08195,R01634,junior,2,1
Unit Echo,S08196,R02159,senior,6,5
Unit Alpha,S08197,R02516,mid,6,6
Unit Bravo,S08198,R03732,senior,5,5
Unit Delta,S08199,R03296,junior,9,5
Unit Alpha,S08200,R04068,senior,6,6
Unit Delta,S08201,R01705,junior,4,3
Unit Delta,S08202,R00670,mid,4,4
Unit Echo,S08203,R02425,junior,5,4
Unit Alpha,S08204,R04437,mid,6,5
Unit Echo,S08205,R04632,mid,7,5
Unit Delta,S08206,R04674,senior,5,5
Unit Bravo,S08207,R01591,mid,8,7
Unit Delta,S08208,R01768,mid,4,3
Unit Bravo,S08209,R03736,junior,4,2
Unit Delta,S08210,R04119,senior,8,8
Unit Bravo,S08211,R02238,junior,4,3
Unit Delta,S08212,R04913,mid,6,3
Unit Delta,S08213,R02394,mid,5,4
Unit Delta,S08214,R00390,junior,8,4
Unit Delta,S08215,R04890,senior,9,8
Unit Echo,S08216,R03502,mid,4,1
Unit Delta,S08217,R04770,junior,5,3
Unit Delta,S08218,R04464,mid,8,7
Unit Alpha,S08219,R02303,senior,4,4
Unit Echo,S08220,R01026,mid,5,4
Unit Delta,S08221,R00151,mid,6,4
Unit Alpha,S08222,R04591,senior,5,4
Unit Bravo,S08223,R03462,mid,7,4
Unit Alpha,S08224,R00016,junior,4,1
Unit Echo,S08225,R00503,junior,3,1
Unit Delta,S08226,R04589,junior,7,6
Unit Echo,S08227,R02975,junior,3,3
Unit Bravo,S08228,R02803,senior,6,5
Unit Delta,S08229,R04073,senior,8,7
Unit Bravo,S08230,R04247,mid,6,4
Unit Bravo,S08231,R03296,junior,4,3
Unit Alpha,S08232,R02982,mid,4,4
Unit Echo,S08233,R00463,mid,6,3
Unit Echo,S08234,R03105,mid,4,3
Unit Alpha,S08235,R00016,mid,5,5
Unit Bravo,S08236,R00593,mid,7,4
Unit Alpha,S08237,R01014,mid,7,6
Unit Delta,S08238,R04548,junior,5,4
Unit Alpha,S08239,R02769,mid,5,3
Unit Echo,S08240,R02185,senior,7,5
Unit Bravo,S08241,R04059,junior,4,3
Unit Alpha,S08242,R04042,junior,6,4
Unit Bravo,S08243,R01439,mid,3,3
Unit Echo,S08244,R02956,mid,5,3
Unit Bravo,S08245,R01088,mid,9,7
Unit Alpha,S08246,R04954,junior,3,2
Unit Delta,S08247,R02151,mid,9,8
Unit Alpha,S08248,R02909,mid,4,3
Unit Delta,S08249,R02035,mid,5,4
Unit Echo,S08250,R00567,junior,7,4
Unit Echo,S08251,R00648,mid,8,6
Unit Delta,S08252,R03979,mid,5,5
Unit Alpha,S08253,R01826,mid,6,5
Unit Bravo,S08254,R04703,junior,7,5
Unit Alpha,S08255,R03899,senior,5,5
Unit Bravo,S08256,R00376,junior,8,5
Unit Echo,S08257,R02239,mid,3,2
Unit Delta,S08258,R04006,senior,6,5
Unit Bravo,S08259,R01569,junior,8,5
Unit Bravo,S08260,R02362,senior,3,3
Unit Echo,S08261,R00179,junior,4,1
Unit Delta,S08262,R04294,mid,5,4
Unit Echo,S08263,R03420,mid,5,5
Unit Bravo,S08264,R03516,senior,9,8
Unit Bravo,S08265,R01430,junior,3,1
Unit Echo,S08266,R00873,junior,6,3
Unit Delta,S08267,R03559,senior,6,5
Unit Echo,S08268,R01234,mid,7,6
Unit Echo,S08269,R03187,junior,3,1
Unit Echo,S08270,R01031,junior,4,3
Unit Echo,S08271,R03838,mid,10,8
Unit Delta,S08272,R03113,junior,4,3
Unit Bravo,S08273,R02397,senior,5,5
Unit Echo,S08274,R00536,mid,7,5
Unit Bravo,S08275,R03805,mid,3,3
Unit Delta,S08276,R01023,junior,6,4
Unit Delta,S08277,R02334,junior,7,4
Unit Delta,S08278,R02957,junior,7,5
Unit Alpha,S08279,R00811,mid,5,5
Unit Echo,S08280,R04899,junior,9,4
Unit Delta,S08281,R00411,junior,3,2
Unit Alpha,S08282,R02427,mid,6,4
Unit Alpha,S08283,R02409,mid,7,6
Unit Delta,S08284,R02506,junior,7,7
Unit Bravo,S08285,R02467,senior,7,7
Unit Echo,S08286,R02403,junior,3,2
Unit Alpha,S08287,R04303,junior,7,4
Unit Echo,S08288,R04902,senior,8,8
Unit Echo,S08289,R04402,mid,3,2
Unit Bravo,S08290,R03370,junior,8,3
Unit Bravo,S08291,R01218,junior,4,3
Unit Bravo,S08292,R02199,junior,7,4
Unit Delta,S08293,R04026,junior,10,6
Unit Echo,S08294,R01177,junior,9,7
Unit Alpha,S08295,R02055,mid,7,6
Unit Bravo,S08296,R02123,senior,3,3
Unit Alpha,S08297,R00773,mid,5,4
Unit Bravo,S08298,R04206,mid,5,4
Unit Echo,S08299,R01577,senior,7,7
Unit Bravo,S08300,R01603,junior,6,4
Unit Delta,S08301,R04279,junior,6,5
Unit Delta,S08302,R02064,senior,9,8
Unit Echo,S08303,R04068,mid,3,2
Unit Alpha,S08304,R04138,mid,2,2
Unit Delta,S08305,R02053,junior,4,4
Unit Echo,S08306,R00786,mid,5,2
Unit Alpha,S08307,R02938,junior,5,4
Unit Bravo,S08308,R03525,junior,4,3
Unit Alpha,S08309,R04453,junior,7,5
Unit Bravo,S08310,R03708,junior,10,5
Unit Bravo,S08311,R03421,mid,2,2
Unit Echo,S08312,R04693,senior,7,6
Unit Delta,S08313,R02389,junior,5,4
Unit Echo,S08314,R01658,junior,2,1
Unit Alpha,S08315,R04555,mid,9,7
Unit Bravo,S08316,R03602,junior,6,4
Unit Echo,S08317,R03875,mid,5,5
Unit Echo,S08318,R00272,mid,6,5
Unit Delta,S08319,R00987,mid,6,6
Unit Echo,S08320,R04584,mid,8,4
Unit Delta,S08321,R04634,senior,7,7
Unit Echo,S08322,R01966,senior,6,4
Unit Alpha,S08323,R01570,junior,5,3
Unit Bravo,S08324,R00211,junior,6,2
Unit Echo,S08325,R01742,mid,4,4
Unit Alpha,S08326,R00121,junior,4,2
Unit Alpha,S08327,R02660,mid,7,6
Unit Echo,S08328,R00140,junior,4,4
Unit Echo,S08329,R02819,senior,6,6
Unit Alpha,S08330,R02069,senior,10,9
Unit Bravo,S08331,R04622,junior,9,7
Unit Delta,S08332,R00647,mid,3,2
Unit Alpha,S08333,R01477,mid,7,5
Unit Bravo,S08334,R04600,mid,8,5
Unit Echo,S08335,R00102,senior,6,6
Unit Echo,S08336,R00186,senior,8,6
Unit Echo,S08337,R01076,mid,3,3
Unit Alpha,S08338,R00258,mid,9,8
Unit Alpha,S08339,R01917,junior,8,5
Unit Alpha,S08340,R02861,junior,3,2
Unit Echo,S08341,R02032,junior,6,5
Unit Delta,S08342,R01333,junior,9,6
Unit Alpha,S08343,R00404,junior,7,7
Unit Alpha,S08344,R04785,senior,3,3
Unit Bravo,S08345,R03932,mid,8,7
Unit Bravo,S08346,R04423,mid,5,4
Unit Echo,S08347,R03629,senior,3,3
Unit Bravo,S08348,R01830,junior,5,3
Unit Bravo,S08349,R04243,junior,3,2
Unit Echo,S08350,R04798,junior,4,2
Unit Alpha,S08351,R03653,senior,6,6
Unit Echo,S08352,R00374,junior,6,2
Unit Delta,S08353,R02218,senior,6,6
Unit Alpha,S08354,R00829,junior,9,2
Unit Bravo,S08355,R04631,junior,6,5
Unit Alpha,S08356,R04791,junior,5,2
Unit Alpha,S08357,R00711,junior,3,1
Unit Alpha,S08358,R01398,junior,7,4
Unit Bravo,S08359,R03898,junior,5,5
Unit Echo,S08360,R04178,senior,6,6
Unit Alpha,S08361,R03179,junior,10,4
Unit Echo,S08362,R01922,mid,7,7
Unit Delta,S08363,R03434,mid,6,4
Unit Delta,S08364,R03816,mid,6,5
Unit Alpha,S08365,R04867,junior,3,1
Unit Delta,S08366,R02907,junior,5,2
Unit Echo,S08367,R01599,junior,11,6
Unit Bravo,S08368,R03636,mid,5,5
Unit Alpha,S08369,R00838,mid,5,4
Unit Echo,S08370,R01106,mid,4,3
Unit Bravo,S08371,R00300,mid,5,4
Unit Echo,S08372,R00333,junior,1,1
Unit Alpha,S08373,R02196,mid,6,4
Unit Delta,S08374,R04763,mid,5,4
Unit Delta,S08375,R01372,junior,3,1
Unit Bravo,S08376,R01984,mid,5,5
Unit Delta,S08377,R03967,junior,4,3
Unit Alpha,S08378,R04365,mid,6,2
Unit Alpha,S08379,R03972,mid,7,5
Unit Echo,S08380,R02520,mid,7,6
Unit Delta,S08381,R00452,senior,6,6
Unit Echo,S08382,R04810,mid,10,9
Unit Alpha,S08383,R01176,junior,6,3
Unit Alpha,S08384,R02926,mid,6,6
Unit Delta,S08385,R04689,mid,2,1
Unit Delta,S08386,R01406,mid,7,2
Unit Bravo,S08387,R02496,junior,8,7
Unit Alpha,S08388,R03157,junior,6,4
Unit Echo,S08389,R03738,junior,6,4
Unit Echo,S08390,R00118,mid,4,3
Unit Bravo,S08391,R00877,junior,5,1
Unit Delta,S08392,R00830,mid,5,4
Unit Alpha,S08393,R02078,mid,5,5
Unit Alpha,S08394,R01376,mid,4,3
Unit Delta,S08395,R00592,senior,9,7
Unit Echo,S08396,R02145,mid,4,2
Unit Alpha,S08397,R01483,mid,5,3
Unit Delta,S08398,R02912,junior,7,5
Unit Bravo,S08399,R02494,junior,5,3
Unit Alpha,S08400,R00854,mid,7,5
Unit Bravo,S08401,R02863,mid,10,6
Unit Delta,S08402,R01140,mid,9,6
Unit Delta,S08403,R03307,junior,10,8
Unit Bravo,S08404,R04976,mid,7,5
Unit Delta,S08405,R04257,mid,3,2
Unit Alpha,S08406,R02424,senior,3,3
Unit Echo,S08407,R01483,mid,6,6
Unit Echo,S08408,R00234,junior,5,2
Unit Bravo,S08409,R01254,mid,6,4
Unit Bravo,S08410,R04499,mid,10,7
Unit Bravo,S08411,R00738,mid,6,6
Unit Bravo,S08412,R04944,mid,5,4
Unit Echo,S08413,R03761,mid,8,5
Unit Delta,S08414,R02009,senior,4,4
Unit Alpha,S08415,R01995,junior,8,5
Unit Bravo,S08416,R02117,senior,2,2
Unit Alpha,S08417,R02304,mid,6,5
Unit Alpha,S08418,R01504,mid,4,1
Unit Bravo,S08419,R02234,mid,9,7
Unit Bravo,S08420,R01538,junior,8,4
Unit Bravo,S08421,R01767,mid,5,3
Unit Alpha,S08422,R01186,mid,6,4
Unit Delta,S08423,R00266,junior,7,5
Unit Delta,S08424,R02007,junior,5,2
Unit Alpha,S08425,R03474,mid,4,1
Unit Bravo,S08426,R03369,mid,7,6
Unit Delta,S08427,R04205,senior,2,2
Unit Alpha,S08428,R00878,junior,4,3
Unit Delta,S08429,R01882,mid,6,4
Unit Echo,S08430,R00572,junior,5,3
Unit Echo,S08431,R02877,mid,5,2
Unit Bravo,S08432,R02822,junior,5,3
Unit Alpha,S08433,R04079,mid,4,4
Unit Echo,S08434,R01884,senior,5,4
Unit Alpha,S08435,R01792,senior,5,5
Unit Alpha,S08436,R04546,mid,6,2
Unit Alpha,S08437,R02647,junior,5,3
Unit Delta,S08438,R01797,mid,2,1
Unit Echo,S08439,R01961,junior,6,3
Unit Alpha,S08440,R00877,mid,8,7
Unit Bravo,S08441,R03356,junior,7,5
Unit Alpha,S08442,R02684,junior,5,5
Unit Echo,S08443,R01590,mid,9,8
Unit Alpha,S08444,R00621,mid,5,4
Unit Bravo,S08445,R01466,mid,6,6
Unit Delta,S08446,R03994,mid,4,4
Unit Alpha,S08447,R02162,mid,6,5
Unit Echo,S08448,R01073,junior,7,5
Unit Echo,S08449,R04418,junior,5,5
Unit Delta,S08450,R02916,junior,7,4
Unit Echo,S08451,R03237,junior,5,5
Unit Alpha,S08452,R00553,senior,9,8
Unit Alpha,S08453,R01303,junior,7,2
Unit Echo,S08454,R00558,senior,5,5
Unit Alpha,S08455,R02879,junior,2,2
Unit Alpha,S08456,R03253,junior,7,2
Unit Echo,S08457,R00381,junior,7,3
Unit Alpha,S08458,R00437,junior,6,2
Unit Bravo,S08459,R01081,mid,10,8
Unit Alpha,S08460,R03014,mid,7,6
Unit Alpha,S08461,R02344,mid,3,2
Unit Delta,S08462,R03163,mid,5,3
Unit Delta,S08463,R00489,junior,6,3
Unit Alpha,S08464,R04267,mid,8,6
Unit Alpha,S08465,R01650,mid,7,7
Unit Echo,S08466,R03423,mid,7,5
Unit Delta,S08467,R04957,junior,7,6
Unit Delta,S08468,R01720,senior,7,6
Unit Echo,S08469,R03252,junior,6,4
Unit Bravo,S08470,R01047,senior,5,5
Unit Alpha,S08471,R02430,junior,6,2
Unit Alpha,S08472,R03963,mid,9,8
Unit Bravo,S08473,R02803,mid,8,5
Unit Alpha,S08474,R01210,junior,5,2
Unit Alpha,S08475,R03998,mid,6,5
Unit Bravo,S08476,R03600,mid,8,5
Unit Bravo,S08477,R03844,junior,5,1
Unit Echo,S08478,R03568,junior,7,4
Unit Delta,S08479,R00584,mid,5,5
Unit Bravo,S08480,R03439,junior,6,4
Unit Alpha,S08481,R03184,mid,10,9
Unit Echo,S08482,R02200,mid,6,5
Unit Alpha,S08483,R04786,junior,5,0
Unit Alpha,S08484,R02285,mid,7,3
Unit Echo,S08485,R01171,mid,7,7
Unit Bravo,S08486,R04432,mid,5,5
Unit Delta,S08487,R01156,mid,7,6
Unit Echo,S08488,R02469,mid,5,4
Unit Echo,S08489,R02646,mid,11,6
Unit Bravo,S08490,R03914,junior,7,5
Unit Delta,S08491,R03306,senior,7,6
Unit Alpha,S08492,R02888,junior,7,6
Unit Delta,S08493,R00691,mid,8,4
Unit Bravo,S08494,R02989,mid,3,2
Unit Echo,S08495,R03555,junior,10,8
Unit Echo,S08496,R03670,junior,8,4
Unit Delta,S08497,R00054,mid,6,4
Unit Bravo,S08498,R00468,junior,5,2
Unit Delta,S08499,R02397,mid,8,7
Unit Alpha,S08500,R00171,junior,5,3
Unit Alpha,S08501,R04029,junior,3,3
Unit Alpha,S08502,R00052,senior,7,5
Unit Bravo,S08503,R01108,mid,5,2
Unit Delta,S08504,R02755,junior,6,3
Unit Delta,S08505,R02382,senior,4,4
Unit Echo,S08506,R01671,senior,1,1
Unit Alpha,S08507,R00180,junior,7,4
Unit Bravo,S08508,R01337,junior,8,4
Unit Echo,S08509,R03738,junior,4,2
Unit Alpha,S08510,R02268,mid,9,7
Unit Delta,S08511,R00878,senior,6,6
Unit Bravo,S08512,R00030,senior,4,4
Unit Echo,S08513,R01328,junior,5,4
Unit Echo,S08514,R02004,senior,4,4
Unit Delta,S08515,R04754,mid,5,4
Unit Delta,S08516,R04249,junior,6,4
Unit Delta,S08517,R04566,mid,6,6
Unit Echo,S08518,R02488,senior,8,6
Unit Alpha,S08519,R00702,mid,10,7
Unit Alpha,S08520,R00847,mid,5,3
Unit Alpha,S08521,R01780,mid,2,2
Unit Echo,S08522,R02549,senior,6,5
Unit Bravo,S08523,R02086,mid,4,3
Unit Alpha,S08524,R00317,junior,6,3
Unit Alpha,S08525,R03444,junior,7,3
Unit Echo,S08526,R02927,senior,9,8
Unit Alpha,S08527,R01470,mid,6,5
Unit Alpha,S08528,R01864,junior,5,4
Unit Echo,S08529,R03124,junior,9,4
Unit Bravo,S08530,R04108,mid,6,4
Unit Alpha,S08531,R00601,mid,4,2
Unit Bravo,S08532,R00381,mid,6,4
Unit Alpha,S08533,R01538,junior,7,4
Unit Echo,S08534,R03862,mid,7,5
Unit Bravo,S08535,R00457,mid,4,3
Unit Delta,S08536,R00669,senior,6,6
Unit Delta,S08537,R03392,mid,7,6
Unit Echo,S08538,R02329,senior,6,6
Unit Bravo,S08539,R01421,mid,8,5
Unit Echo,S08540,R02379,senior,9,7
Unit Delta,S08541,R00906,junior,5,3
Unit Delta,S08542,R01228,junior,5,4
Unit Alpha,S08543,R03987,senior,4,4
Unit Delta,S08544,R03503,junior,6,3
Unit Alpha,S08545,R02189,mid,5,4
Unit Bravo,S08546,R03696,senior,7,7
Unit Bravo,S08547,R04421,mid,6,5
Unit Bravo,S08548,R03270,junior,3,1
Unit Echo,S08549,R04781,junior,4,3
Unit Echo,S08550,R04059,senior,7,6
Unit Alpha,S08551,R03380,junior,5,2
Unit Echo,S08552,R01041,senior,6,6
Unit Bravo,S08553,R02960,senior,5,4
Unit Bravo,S08554,R01168,mid,7,3
Unit Alpha,S08555,R01493,junior,7,5
Unit Echo,S08556,R00840,junior,3,2
Unit Alpha,S08557,R04005,mid,7,5
Unit Delta,S08558,R00514,junior,5,3
Unit Delta,S08559,R04801,junior,4,3
Unit Bravo,S08560,R02489,mid,9,6
