training_center,course_id,participant_id,difficulty_level,score
North Ridge,C009,P05703,medium,73.9
Mountain Base,C065,P01569,medium,77.7
Desert Camp,C022,P02620,medium,56.3
North Ridge,C017,P05235,medium,64.8
Forest Edge,C049,P05110,medium,86.7
North Ridge,C008,P01080,easy,71.8
Mountain Base,C059,P00489,medium,83.5
Forest Edge,C036,P03497,medium,71.3
Mountain Base,C068,P03837,medium,68.5
North Ridge,C002,P03899,medium,82.2
Forest Edge,C050,P01777,medium,64.2
North Ridge,C016,P01851,easy,86.8
Mountain Base,C061,P01529,easy,88.7
Mountain Base,C062,P03513,hard,83.3
Forest Edge,C038,P01553,medium,70.8
Desert Camp,C026,P05023,medium,62.6
Desert Camp,C026,P04950,medium,73.3
Forest Edge,C038,P03813,medium,86.9
Mountain Base,C069,P04696,medium,69.1
North Ridge,C004,P01851,hard,61.8
North Ridge,C008,P05788,easy,64.0
Forest Edge,C043,P02887,medium,67.0
Mountain Base,C069,P02622,medium,67.5
Mountain Base,C068,P02197,medium,71.4
North Ridge,C008,P01468,easy,70.0
North Ridge,C010,P05378,medium,64.2
North Ridge,C006,P00823,medium,87.6
Mountain Base,C074,P02255,medium,65.8
North Ridge,C012,P03158,medium,59.2
North Ridge,C013,P04929,easy,76.5
North Ridge,C016,P01536,easy,77.0
Forest Edge,C043,P01569,medium,70.7
Mountain Base,C067,P03506,easy,80.5
Mountain Base,C058,P00940,easy,75.6
Desert Camp,C031,P00478,hard,58.4
Mountain Base,C069,P02173,medium,69.9
Mountain Base,C061,P01610,easy,83.4
Forest Edge,C046,P03214,easy,85.7
Mountain Base,C061,P03594,easy,82.2
North Ridge,C016,P03761,easy,75.6
North Ridge,C009,P04509,medium,55.8
Forest Edge,C035,P02217,medium,72.4
Desert Camp,C025,P00690,medium,62.0
Forest Edge,C048,P04289,medium,86.7
Mountain Base,C057,P00307,medium,90.2
Forest Edge,C053,P01940,easy,68.2
Mountain Base,C069,P03869,medium,60.6
North Ridge,C017,P03950,medium,70.9
North Ridge,C019,P04545,easy,79.1
North Ridge,C014,P05735,easy,100.0
Desert Camp,C026,P00785,medium,63.0
Desert Camp,C022,P04907,medium,66.1
Forest Edge,C044,P00121,medium,80.7
Forest Edge,C047,P01232,medium,78.9
Forest Edge,C047,P05459,medium,78.7
North Ridge,C007,P04666,easy,82.9
Desert Camp,C033,P00938,easy,92.6
Mountain Base,C075,P04483,medium,63.0
Forest Edge,C037,P01553,easy,94.1
North Ridge,C009,P03648,medium,94.6
North Ridge,C005,P05584,medium,70.7
Forest Edge,C047,P05330,medium,70.6
Forest Edge,C037,P04024,easy,63.4
North Ridge,C017,P02638,medium,72.9
North Ridge,C010,P02174,medium,60.1
Mountain Base,C072,P05833,easy,82.5
Desert Camp,C033,P02869,easy,76.1
Forest Edge,C043,P03641,medium,80.3
North Ridge,C011,P04197,hard,60.5
Forest Edge,C040,P05300,medium,75.1
Forest Edge,C056,P04798,medium,65.4
Desert Camp,C031,P05721,hard,64.3
Mountain Base,C066,P05376,hard,70.5
Forest Edge,C037,P05451,easy,79.9
Forest Edge,C038,P02336,medium,78.6
North Ridge,C018,P05023,hard,41.4
Desert Camp,C029,P04990,medium,74.4
North Ridge,C002,P03097,medium,70.4
Desert Camp,C032,P02548,medium,84.0
North Ridge,C006,P03911,medium,61.7
North Ridge,C002,P05667,medium,67.7
Mountain Base,C071,P00403,medium,49.9
Mountain Base,C073,P01597,medium,81.1
Mountain Base,C075,P00357,medium,72.2
Mountain Base,C074,P02282,medium,67.4
Forest Edge,C051,P03934,medium,64.4
Desert Camp,C032,P04029,medium,81.4
Mountain Base,C072,P01837,easy,75.1
Desert Camp,C030,P03347,medium,53.3
North Ridge,C006,P03945,medium,81.6
Mountain Base,C067,P01514,easy,86.9
Forest Edge,C045,P05349,hard,57.2
North Ridge,C016,P04016,easy,79.2
North Ridge,C012,P01740,medium,72.4
Mountain Base,C074,P05743,medium,74.8
North Ridge,C018,P01009,hard,50.5
North Ridge,C009,P05096,medium,85.8
North Ridge,C017,P00810,medium,73.6
North Ridge,C008,P05298,easy,77.9
Mountain Base,C074,P04915,medium,54.2
Forest Edge,C052,P01949,medium,63.1
Forest Edge,C047,P00315,medium,85.2
Desert Camp,C027,P02254,easy,86.9
North Ridge,C005,P00843,medium,70.1
Forest Edge,C038,P00355,medium,90.7
North Ridge,C013,P01316,easy,82.4
Mountain Base,C065,P04816,medium,59.2
Mountain Base,C057,P05140,medium,80.8
Mountain Base,C067,P05673,easy,71.9
Forest Edge,C039,P04464,medium,74.7
Mountain Base,C069,P05740,medium,72.1
Mountain Base,C060,P05969,medium,85.5
Desert Camp,C029,P03371,medium,80.3
Forest Edge,C049,P03864,medium,61.5
Mountain Base,C059,P05438,medium,67.1
Forest Edge,C043,P00800,medium,82.5
Mountain Base,C062,P02524,hard,62.8
North Ridge,C002,P02151,medium,61.1
Forest Edge,C054,P05459,easy,90.7
Mountain Base,C062,P04070,hard,60.9
Forest Edge,C044,P05315,medium,53.6
North Ridge,C009,P03667,medium,80.5
Forest Edge,C055,P01022,medium,69.5
Desert Camp,C024,P03603,medium,62.4
Mountain Base,C073,P00339,medium,68.8
North Ridge,C018,P01445,hard,55.2
Desert Camp,C024,P00586,medium,52.5
Desert Camp,C034,P05284,medium,86.6
Forest Edge,C036,P02925,medium,64.7
Forest Edge,C039,P02551,medium,75.5
North Ridge,C013,P01391,easy,85.4
Desert Camp,C023,P02834,hard,53.0
Mountain Base,C068,P03228,medium,64.5
Mountain Base,C066,P02667,hard,48.2
North Ridge,C001,P02236,medium,66.1
Forest Edge,C041,P02623,medium,78.6
North Ridge,C016,P03113,easy,83.3
Mountain Base,C067,P02938,easy,70.0
Desert Camp,C027,P04341,easy,100.0
Forest Edge,C039,P05542,medium,67.2
Desert Camp,C027,P04201,easy,76.1
Mountain Base,C064,P01642,hard,53.4
Forest Edge,C043,P02966,medium,87.8
Mountain Base,C069,P02763,medium,52.1
Forest Edge,C047,P01001,medium,74.3
Forest Edge,C054,P05687,easy,60.9
Forest Edge,C056,P03066,medium,60.0
Forest Edge,C052,P00434,medium,84.6
North Ridge,C009,P03113,medium,80.2
North Ridge,C012,P00028,medium,65.8
Mountain Base,C062,P04454,hard,61.8
Forest Edge,C045,P04929,hard,59.2
North Ridge,C001,P05664,medium,57.0
North Ridge,C010,P04684,medium,63.7
Mountain Base,C065,P01874,medium,72.5
Mountain Base,C059,P03591,medium,74.2
North Ridge,C003,P05454,medium,57.3
Mountain Base,C058,P03907,easy,90.9
North Ridge,C018,P04969,hard,55.2
North Ridge,C012,P04311,medium,62.6
Forest Edge,C052,P01665,medium,84.6
North Ridge,C017,P05667,medium,83.7
Mountain Base,C069,P01159,medium,79.0
Desert Camp,C022,P05744,medium,70.4
Mountain Base,C064,P00260,hard,49.4
Mountain Base,C060,P02879,medium,76.3
Forest Edge,C039,P02233,medium,67.4
Forest Edge,C036,P03015,medium,74.6
Desert Camp,C025,P04435,medium,83.6
Mountain Base,C057,P03569,medium,73.2
Mountain Base,C065,P03993,medium,70.6
Forest Edge,C052,P02106,medium,70.3
North Ridge,C003,P04114,medium,75.6
North Ridge,C006,P00988,medium,73.6
Mountain Base,C068,P02445,medium,71.8
Mountain Base,C071,P05181,medium,69.1
North Ridge,C004,P02763,hard,60.6
Forest Edge,C056,P01330,medium,56.3
Forest Edge,C050,P05701,medium,69.9
North Ridge,C016,P03089,easy,51.7
Mountain Base,C069,P05550,medium,69.9
Mountain Base,C061,P01525,easy,65.1
Desert Camp,C024,P01093,medium,74.3
Forest Edge,C042,P03965,medium,91.4
North Ridge,C005,P01497,medium,79.0
Forest Edge,C045,P04877,hard,47.5
North Ridge,C013,P02729,easy,71.7
Mountain Base,C059,P05250,medium,57.6
North Ridge,C012,P00028,medium,70.9
North Ridge,C012,P02611,medium,59.5
Mountain Base,C072,P00457,easy,79.1
Forest Edge,C043,P03517,medium,75.6
North Ridge,C002,P00635,medium,88.9
North Ridge,C002,P04150,medium,59.4
Desert Camp,C022,P04412,medium,48.7
Forest Edge,C044,P01443,medium,84.9
North Ridge,C016,P04989,easy,92.7
North Ridge,C005,P03235,medium,56.1
Desert Camp,C033,P01431,easy,81.4
North Ridge,C006,P04611,medium,81.8
Mountain Base,C062,P00255,hard,66.1
Mountain Base,C069,P01093,medium,72.0
North Ridge,C012,P00923,medium,66.9
Forest Edge,C055,P04721,medium,87.7
Desert Camp,C020,P03410,hard,56.8
North Ridge,C010,P04842,medium,70.7
Mountain Base,C062,P04290,hard,57.5
Forest Edge,C040,P02805,medium,66.3
Forest Edge,C049,P00481,medium,72.2
Mountain Base,C061,P00957,easy,100.0
Mountain Base,C058,P00639,easy,75.7
North Ridge,C018,P04152,hard,53.7
Forest Edge,C052,P04397,medium,80.1
Mountain Base,C075,P02275,medium,69.4
Forest Edge,C039,P02829,medium,82.1
Mountain Base,C071,P00220,medium,77.8
Desert Camp,C020,P04941,hard,53.2
Forest Edge,C046,P02446,easy,91.3
Forest Edge,C044,P05115,medium,59.1
North Ridge,C007,P05184,easy,80.9
Forest Edge,C035,P02149,medium,71.3
Mountain Base,C057,P01401,medium,79.9
North Ridge,C010,P05397,medium,85.3
Forest Edge,C054,P02114,easy,80.0
Mountain Base,C075,P01519,medium,61.6
Desert Camp,C026,P05246,medium,77.5
Forest Edge,C049,P05578,medium,70.1
Mountain Base,C066,P05262,hard,51.6
Desert Camp,C034,P01633,medium,73.1
Forest Edge,C052,P02631,medium,80.7
Desert Camp,C033,P04813,easy,90.7
Mountain Base,C059,P01232,medium,59.2
Forest Edge,C055,P02098,medium,72.4
Forest Edge,C049,P00629,medium,62.2
Forest Edge,C040,P03927,medium,56.5
Forest Edge,C055,P02037,medium,83.0
North Ridge,C009,P00780,medium,63.5
Forest Edge,C045,P04278,hard,52.3
Forest Edge,C041,P03265,medium,71.6
Desert Camp,C025,P05363,medium,56.3
North Ridge,C006,P00440,medium,64.8
North Ridge,C007,P04419,easy,90.3
Forest Edge,C039,P05899,medium,73.0
Forest Edge,C038,P00854,medium,51.5
Mountain Base,C064,P01187,hard,47.5
North Ridge,C015,P03322,hard,52.9
Forest Edge,C038,P03614,medium,60.2
Forest Edge,C055,P04200,medium,85.2
Forest Edge,C036,P03147,medium,63.0
Mountain Base,C068,P02584,medium,81.7
North Ridge,C019,P02607,easy,90.2
Mountain Base,C063,P05408,hard,73.6
Mountain Base,C068,P00523,medium,87.4
Forest Edge,C044,P02061,medium,56.6
North Ridge,C015,P02347,hard,52.1
Mountain Base,C065,P00477,medium,67.2
Desert Camp,C021,P01779,easy,78.3
Forest Edge,C051,P01941,medium,57.8
Forest Edge,C047,P01562,medium,59.2
Forest Edge,C045,P05642,hard,56.1
Forest Edge,C043,P02949,medium,65.6
North Ridge,C011,P00199,hard,37.7
Desert Camp,C029,P03882,medium,60.5
Forest Edge,C053,P04617,easy,79.8
Forest Edge,C035,P02403,medium,54.4
Forest Edge,C036,P04899,medium,67.0
North Ridge,C006,P05365,medium,73.1
Forest Edge,C043,P04909,medium,77.3
North Ridge,C017,P03631,medium,62.1
Forest Edge,C044,P03661,medium,78.7
North Ridge,C006,P04381,medium,86.7
Mountain Base,C060,P02629,medium,69.5
Forest Edge,C045,P04939,hard,53.2
Forest Edge,C038,P01520,medium,78.1
Mountain Base,C061,P03899,easy,80.8
Mountain Base,C063,P04349,hard,68.2
Desert Camp,C031,P05205,hard,49.1
Mountain Base,C060,P01834,medium,69.8
Forest Edge,C048,P05738,medium,64.8
Forest Edge,C037,P02747,easy,73.6
Forest Edge,C045,P00203,hard,78.7
Forest Edge,C051,P02367,medium,72.0
Desert Camp,C030,P00352,medium,53.5
Forest Edge,C050,P00067,medium,86.2
Forest Edge,C048,P04014,medium,78.6
Forest Edge,C051,P04060,medium,68.8
Forest Edge,C035,P03936,medium,71.0
Desert Camp,C028,P02678,easy,64.5
Mountain Base,C057,P01621,medium,50.7
Desert Camp,C020,P04804,hard,48.3
Forest Edge,C038,P00358,medium,50.9
Mountain Base,C066,P00328,hard,57.8
North Ridge,C018,P03963,hard,68.1
North Ridge,C017,P02208,medium,63.4
North Ridge,C012,P02279,medium,53.8
Desert Camp,C034,P05840,medium,73.9
Mountain Base,C070,P02381,medium,61.1
Mountain Base,C057,P04733,medium,62.8
Desert Camp,C034,P05975,medium,61.2
Forest Edge,C053,P00261,easy,93.5
Forest Edge,C040,P02249,medium,70.6
Forest Edge,C044,P05986,medium,61.0
Forest Edge,C039,P04247,medium,76.4
Forest Edge,C039,P02048,medium,71.2
Forest Edge,C041,P01767,medium,60.9
Desert Camp,C024,P03157,medium,76.9
North Ridge,C001,P01273,medium,73.2
Forest Edge,C050,P03283,medium,70.3
Desert Camp,C034,P03281,medium,61.1
Forest Edge,C042,P00689,medium,74.8
Forest Edge,C044,P04261,medium,54.0
Forest Edge,C054,P03936,easy,74.9
North Ridge,C001,P03638,medium,73.1
Desert Camp,C021,P04175,easy,70.5
North Ridge,C006,P00029,medium,66.9
North Ridge,C011,P02835,hard,49.0
North Ridge,C015,P04903,hard,65.8
Forest Edge,C054,P00899,easy,84.4
Desert Camp,C021,P00266,easy,79.1
Forest Edge,C047,P03296,medium,94.1
Mountain Base,C058,P03644,easy,67.5
North Ridge,C004,P02304,hard,36.4
Forest Edge,C051,P02158,medium,55.2
Mountain Base,C061,P00380,easy,92.4
Mountain Base,C058,P05551,easy,76.6
Forest Edge,C038,P03213,medium,69.0
North Ridge,C019,P02225,easy,63.6
Mountain Base,C070,P02272,medium,49.8
Desert Camp,C021,P02814,easy,90.3
Mountain Base,C063,P05515,hard,79.5
North Ridge,C005,P04487,medium,81.5
Mountain Base,C059,P04539,medium,61.9
Mountain Base,C066,P04955,hard,52.6
North Ridge,C006,P00558,medium,89.6
Mountain Base,C061,P04910,easy,75.5
Forest Edge,C041,P04056,medium,54.9
Desert Camp,C024,P02926,medium,81.9
Mountain Base,C065,P03807,medium,69.8
Forest Edge,C048,P03434,medium,80.9
Mountain Base,C070,P05049,medium,68.6
Desert Camp,C027,P04985,easy,91.1
North Ridge,C003,P00313,medium,94.8
Mountain Base,C059,P05736,medium,82.9
Desert Camp,C023,P01918,hard,68.7
Forest Edge,C054,P05680,easy,66.5
North Ridge,C003,P05865,medium,66.4
Desert Camp,C027,P05843,easy,85.1
Desert Camp,C027,P01807,easy,75.3
Mountain Base,C069,P02698,medium,56.7
Forest Edge,C038,P02107,medium,50.7
Forest Edge,C050,P05668,medium,68.0
Mountain Base,C063,P02388,hard,43.1
Forest Edge,C035,P05950,medium,60.3
North Ridge,C017,P00259,medium,67.3
Forest Edge,C037,P05525,easy,61.5
Desert Camp,C026,P03575,medium,64.8
Forest Edge,C051,P02777,medium,51.9
Forest Edge,C046,P00131,easy,82.2
North Ridge,C016,P04437,easy,86.8
North Ridge,C002,P00959,medium,73.2
Forest Edge,C041,P00452,medium,76.6
North Ridge,C019,P01098,easy,62.3
North Ridge,C004,P02094,hard,70.7
North Ridge,C008,P04860,easy,87.7
Desert Camp,C021,P04618,easy,81.7
Desert Camp,C032,P03959,medium,70.2
North Ridge,C017,P02186,medium,67.5
Forest Edge,C045,P01607,hard,64.5
Forest Edge,C036,P01943,medium,56.0
Desert Camp,C029,P00954,medium,80.2
Desert Camp,C022,P02397,medium,57.1
Mountain Base,C064,P04320,hard,68.5
North Ridge,C009,P02621,medium,67.1
North Ridge,C001,P01979,medium,60.9
North Ridge,C001,P00345,medium,75.7
North Ridge,C012,P04763,medium,86.8
Forest Edge,C047,P04541,medium,62.8
Forest Edge,C052,P05260,medium,52.6
Mountain Base,C057,P00065,medium,54.0
Forest Edge,C038,P04371,medium,61.0
Forest Edge,C046,P01521,easy,80.2
Desert Camp,C026,P05734,medium,54.7
North Ridge,C006,P05873,medium,62.0
Desert Camp,C022,P00067,medium,69.1
Desert Camp,C024,P04346,medium,76.2
Mountain Base,C070,P03633,medium,70.7
Mountain Base,C069,P04097,medium,66.8
Forest Edge,C041,P00431,medium,71.3
Forest Edge,C035,P01876,medium,64.5
Mountain Base,C071,P01733,medium,66.2
North Ridge,C016,P03189,easy,85.8
North Ridge,C012,P02119,medium,72.2
North Ridge,C013,P00664,easy,82.5
Forest Edge,C040,P04963,medium,59.2
Mountain Base,C071,P04985,medium,75.5
North Ridge,C006,P04489,medium,67.5
Desert Camp,C023,P01804,hard,46.0
Desert Camp,C020,P03858,hard,56.7
North Ridge,C012,P02764,medium,73.2
North Ridge,C019,P04827,easy,100.0
North Ridge,C006,P03087,medium,75.6
Desert Camp,C031,P03707,hard,39.5
North Ridge,C001,P04421,medium,69.6
Desert Camp,C029,P00788,medium,71.1
North Ridge,C003,P05533,medium,65.6
Forest Edge,C038,P02015,medium,44.6
Desert Camp,C028,P02049,easy,71.6
North Ridge,C006,P00137,medium,64.7
North Ridge,C016,P00471,easy,81.5
Desert Camp,C032,P05169,medium,87.2
North Ridge,C014,P05964,easy,87.0
Forest Edge,C035,P00437,medium,73.5
Desert Camp,C028,P01443,easy,73.9
North Ridge,C017,P03399,medium,75.1
Mountain Base,C066,P05278,hard,58.8
Mountain Base,C069,P00796,medium,63.4
North Ridge,C007,P05505,easy,69.0
Desert Camp,C026,P03409,medium,65.3
North Ridge,C005,P02741,medium,63.0
Desert Camp,C027,P02814,easy,68.2
North Ridge,C004,P01913,hard,72.7
Forest Edge,C056,P04406,medium,51.3
Mountain Base,C068,P01507,medium,77.7
Desert Camp,C026,P04463,medium,76.2
Mountain Base,C057,P04784,medium,66.9
Mountain Base,C057,P04662,medium,91.1
Forest Edge,C045,P03407,hard,53.1
North Ridge,C003,P05978,medium,52.7
North Ridge,C013,P02346,easy,75.2
Mountain Base,C070,P01350,medium,67.6
Forest Edge,C042,P00791,medium,76.0
Mountain Base,C074,P05303,medium,76.3
Forest Edge,C054,P00522,easy,100.0
Desert Camp,C026,P05849,medium,80.5
North Ridge,C004,P05128,hard,60.2
Mountain Base,C065,P03746,medium,73.5
North Ridge,C008,P00836,easy,84.6
Mountain Base,C067,P01840,easy,82.6
Desert Camp,C029,P03356,medium,79.6
North Ridge,C010,P04679,medium,69.1
Mountain Base,C064,P03431,hard,47.3
Forest Edge,C049,P03763,medium,63.4
Forest Edge,C047,P04415,medium,63.4
Mountain Base,C075,P00508,medium,77.0
Forest Edge,C055,P04340,medium,61.7
Forest Edge,C037,P04994,easy,75.8
Forest Edge,C046,P03662,easy,81.6
North Ridge,C017,P00022,medium,73.8
Desert Camp,C027,P02896,easy,76.3
Desert Camp,C030,P01098,medium,80.6
Forest Edge,C052,P01383,medium,84.0
Mountain Base,C066,P02312,hard,63.8
North Ridge,C008,P01325,easy,89.6
Desert Camp,C028,P03266,easy,100.0
Forest Edge,C052,P04482,medium,74.7
Desert Camp,C020,P05079,hard,44.9
North Ridge,C017,P03631,medium,90.9
Desert Camp,C028,P02516,easy,81.1
Desert Camp,C028,P03513,easy,79.9
Desert Camp,C032,P05967,medium,70.1
Mountain Base,C071,P00702,medium,77.5
Mountain Base,C067,P04084,easy,76.1
North Ridge,C001,P03017,medium,72.1
Mountain Base,C064,P02041,hard,66.9
North Ridge,C011,P02460,hard,41.4
Forest Edge,C036,P03329,medium,71.8
Mountain Base,C063,P00416,hard,58.4
Forest Edge,C052,P00786,medium,72.9
Mountain Base,C075,P01639,medium,78.6
Mountain Base,C066,P02878,hard,46.9
North Ridge,C009,P01806,medium,69.7
Forest Edge,C041,P01702,medium,75.9
Forest Edge,C038,P02576,medium,74.8
North Ridge,C011,P01311,hard,60.8
North Ridge,C009,P05178,medium,60.6
Forest Edge,C055,P01522,medium,80.6
Desert Camp,C031,P02544,hard,70.6
Desert Camp,C021,P00888,easy,76.6
Forest Edge,C038,P02540,medium,69.9
Mountain Base,C065,P03159,medium,98.8
North Ridge,C001,P02092,medium,74.0
Forest Edge,C046,P01562,easy,93.7
Forest Edge,C038,P01202,medium,78.7
North Ridge,C007,P05951,easy,82.7
Desert Camp,C026,P03636,medium,71.3
Desert Camp,C022,P04373,medium,67.8
Forest Edge,C049,P02939,medium,62.3
Forest Edge,C038,P05460,medium,52.1
North Ridge,C016,P05547,easy,74.8
Desert Camp,C030,P01692,medium,85.7
Desert Camp,C026,P01130,medium,77.5
Forest Edge,C055,P04149,medium,74.2
Mountain Base,C071,P00575,medium,56.8
Mountain Base,C060,P02739,medium,58.6
Mountain Base,C059,P01088,medium,83.8
North Ridge,C010,P00228,medium,63.3
Mountain Base,C075,P02291,medium,83.7
Mountain Base,C074,P00351,medium,63.5
Mountain Base,C075,P05784,medium,66.5
North Ridge,C004,P05593,hard,40.4
Desert Camp,C027,P05596,easy,70.6
North Ridge,C004,P00602,hard,62.7
Mountain Base,C059,P01781,medium,80.1
Forest Edge,C043,P02915,medium,72.3
North Ridge,C016,P03851,easy,82.3
North Ridge,C014,P05468,easy,93.2
Desert Camp,C023,P01405,hard,45.9
Forest Edge,C037,P01407,easy,85.5
Forest Edge,C050,P03029,medium,65.6
North Ridge,C008,P03989,easy,59.2
Forest Edge,C046,P00832,easy,72.6
Forest Edge,C056,P02753,medium,89.5
Mountain Base,C070,P05287,medium,72.3
Mountain Base,C073,P05838,medium,59.1
North Ridge,C008,P05882,easy,78.8
North Ridge,C007,P04120,easy,65.4
Mountain Base,C060,P01849,medium,73.1
North Ridge,C007,P05896,easy,97.8
Forest Edge,C053,P00306,easy,74.3
Mountain Base,C067,P00664,easy,67.5
North Ridge,C007,P04327,easy,99.2
Forest Edge,C042,P00530,medium,61.9
North Ridge,C016,P00644,easy,82.9
Desert Camp,C031,P00659,hard,61.1
Mountain Base,C070,P01828,medium,77.2
Forest Edge,C042,P02971,medium,77.7
Forest Edge,C055,P03687,medium,63.6
Mountain Base,C074,P04740,medium,85.0
Mountain Base,C059,P02863,medium,67.5
Forest Edge,C045,P05030,hard,70.6
North Ridge,C010,P01662,medium,72.2
Mountain Base,C066,P05401,hard,50.2
Forest Edge,C041,P02639,medium,77.5
Forest Edge,C036,P03898,medium,64.5
Forest Edge,C045,P02253,hard,68.1
Forest Edge,C035,P00955,medium,73.7
Forest Edge,C050,P02382,medium,67.4
North Ridge,C016,P00662,easy,92.3
Forest Edge,C051,P03674,medium,91.9
North Ridge,C002,P04844,medium,86.3
Mountain Base,C072,P02473,easy,72.9
Forest Edge,C044,P04611,medium,67.1
North Ridge,C004,P05555,hard,42.5
North Ridge,C007,P02415,easy,74.1
Forest Edge,C044,P02908,medium,65.4
Desert Camp,C026,P00116,medium,61.0
Forest Edge,C046,P02851,easy,88.0
Mountain Base,C071,P03254,medium,52.5
Forest Edge,C036,P04483,medium,70.2
Desert Camp,C026,P00756,medium,98.4
North Ridge,C018,P01997,hard,76.2
Mountain Base,C061,P05898,easy,72.6
Mountain Base,C059,P04499,medium,69.6
Mountain Base,C067,P05358,easy,92.0
Desert Camp,C033,P00224,easy,64.5
Mountain Base,C057,P02336,medium,66.3
North Ridge,C008,P02199,easy,83.0
Mountain Base,C068,P03231,medium,74.4
North Ridge,C005,P01133,medium,76.5
Forest Edge,C048,P01217,medium,63.3
Mountain Base,C062,P01774,hard,55.8
Forest Edge,C047,P02986,medium,84.8
Mountain Base,C073,P01493,medium,71.9
Forest Edge,C038,P01640,medium,79.2
Mountain Base,C071,P05301,medium,83.3
Mountain Base,C064,P05747,hard,44.9
Forest Edge,C053,P00753,easy,92.6
Forest Edge,C037,P04052,easy,80.8
Forest Edge,C054,P04990,easy,74.9
Mountain Base,C063,P00792,hard,58.2
Forest Edge,C035,P04431,medium,94.0
North Ridge,C012,P03171,medium,57.5
Forest Edge,C041,P02955,medium,85.1
Desert Camp,C025,P00743,medium,72.5
North Ridge,C019,P05529,easy,66.7
North Ridge,C010,P02174,medium,68.4
Mountain Base,C073,P02392,medium,76.5
North Ridge,C008,P03616,easy,77.1
North Ridge,C013,P01272,easy,85.9
Desert Camp,C031,P00314,hard,69.3
Forest Edge,C047,P04438,medium,69.4
North Ridge,C015,P02504,hard,50.7
Desert Camp,C020,P04311,hard,65.7
Mountain Base,C062,P05981,hard,51.9
Desert Camp,C026,P05476,medium,78.3
Mountain Base,C059,P00329,medium,59.0
Desert Camp,C028,P03603,easy,79.9
Mountain Base,C059,P05497,medium,63.5
North Ridge,C018,P00644,hard,47.6
Forest Edge,C037,P03843,easy,86.1
Mountain Base,C071,P01231,medium,61.9
Mountain Base,C074,P05035,medium,65.2
Forest Edge,C056,P01861,medium,83.6
Desert Camp,C033,P00066,easy,95.2
Mountain Base,C065,P01844,medium,69.7
Desert Camp,C022,P01864,medium,72.6
North Ridge,C001,P05646,medium,64.5
North Ridge,C006,P03288,medium,60.6
Mountain Base,C060,P00003,medium,60.7
Mountain Base,C062,P05383,hard,88.5
Forest Edge,C053,P02222,easy,88.6
Forest Edge,C047,P03316,medium,88.5
Mountain Base,C069,P00692,medium,95.8
Forest Edge,C053,P05754,easy,84.1
Mountain Base,C072,P00649,easy,84.8
Mountain Base,C061,P04160,easy,63.3
Mountain Base,C071,P03383,medium,69.4
Desert Camp,C027,P05976,easy,90.2
Forest Edge,C037,P01748,easy,72.9
North Ridge,C011,P00628,hard,51.2
Forest Edge,C039,P03107,medium,75.5
Mountain Base,C069,P01673,medium,54.2
Mountain Base,C067,P01050,easy,90.9
Forest Edge,C037,P04175,easy,83.5
North Ridge,C009,P01782,medium,81.6
Mountain Base,C067,P05899,easy,94.5
Desert Camp,C030,P01336,medium,66.4
Desert Camp,C033,P04530,easy,73.4
Forest Edge,C056,P00496,medium,90.9
Mountain Base,C070,P05426,medium,65.4
Forest Edge,C035,P03788,medium,88.7
Forest Edge,C042,P04813,medium,71.9
Forest Edge,C042,P02821,medium,71.2
North Ridge,C014,P00679,easy,73.7
Mountain Base,C065,P02482,medium,58.6
Desert Camp,C022,P00469,medium,71.5
North Ridge,C009,P03202,medium,59.0
Desert Camp,C025,P05350,medium,41.3
Desert Camp,C028,P03662,easy,87.4
North Ridge,C013,P04072,easy,72.7
Mountain Base,C065,P00765,medium,59.9
North Ridge,C017,P00540,medium,58.7
Forest Edge,C046,P02699,easy,89.2
Mountain Base,C061,P00506,easy,68.1
Mountain Base,C057,P02915,medium,59.1
North Ridge,C009,P00020,medium,76.2
Desert Camp,C027,P05308,easy,83.7
Mountain Base,C063,P05710,hard,66.0
Forest Edge,C038,P03920,medium,74.5
Mountain Base,C060,P05786,medium,74.5
Desert Camp,C031,P00458,hard,44.3
North Ridge,C017,P02551,medium,59.5
Desert Camp,C024,P04393,medium,79.7
Mountain Base,C057,P03460,medium,69.7
Mountain Base,C066,P02290,hard,51.3
North Ridge,C003,P03917,medium,63.3
Forest Edge,C044,P01696,medium,63.1
North Ridge,C012,P03600,medium,83.7
Desert Camp,C030,P00960,medium,50.4
Desert Camp,C021,P04350,easy,81.3
Forest Edge,C038,P04941,medium,65.6
North Ridge,C005,P05148,medium,68.5
North Ridge,C019,P05392,easy,86.7
Mountain Base,C061,P03808,easy,77.2
Forest Edge,C056,P01295,medium,73.7
Mountain Base,C063,P05475,hard,45.9
Desert Camp,C030,P01918,medium,79.6
Desert Camp,C033,P02260,easy,50.3
North Ridge,C017,P01722,medium,62.4
Forest Edge,C046,P00925,easy,94.7
Forest Edge,C051,P04530,medium,74.1
North Ridge,C015,P03976,hard,44.4
Desert Camp,C028,P02680,easy,69.2
Forest Edge,C036,P04444,medium,72.3
Desert Camp,C021,P03520,easy,72.3
North Ridge,C004,P05828,hard,65.6
Mountain Base,C060,P02575,medium,64.2
Desert Camp,C031,P03330,hard,77.1
Forest Edge,C055,P00397,medium,72.3
Mountain Base,C067,P01487,easy,72.4
Forest Edge,C055,P00972,medium,73.5
Forest Edge,C037,P00727,easy,77.5
Forest Edge,C053,P04194,easy,82.1
Desert Camp,C027,P02156,easy,90.9
